episode,locations
GAG97,"[('Preußen', 21.9245893, 55.0751408), ('Niederlanden', 32.595727238999544, -25.965077), ('Belgien', 4.6667145, 50.6402809)]"
GAG94,"[('Englands', -1.8595357657235332, 51.7039725), ('Stadt', 8.2146017, 53.1389753)]"
GAG93,"[('uns"".', 58.759815, 53.277153)]"
GAG92,"[('New York City', -74.0060152, 40.7127281)]"
GAG90,"[('Irland', -7.9794599, 52.865196)]"
GAG87,"[('Wörgl', 12.07928067668956, 47.48033265)]"
GAG86,"[('Döner', 13.4703351, 52.6145291)]"
GAG85,"[('Australiens', 151.5661514799482, -32.102169950000004)]"
GAG84,"[('Erde', 5.4980051, 51.6034376)]"
GAG81,"[('Platz am Tisch', 9.5691894, 47.4695946)]"
GAG80,"[('Amsterdam', 4.8936041, 52.3727598), ('Museum Ons’ Lieve Heer op Solder.', 4.899154106149027, 52.3751465), ('Amsterdam', 4.8936041, 52.3727598)]"
GAG77,"[('Europas', 8.958095134724655, 51.14825865), ('Augsburg', 10.8986971, 48.3668041)]"
GAG76,"[('Japan', 139.2394179, 36.5748441), ('Nashville', -86.7742984, 36.1622767)]"
GAG74,"[('Paris', 2.3200410217200766, 48.8588897)]"
GAG73,"[('Europa', 10.0, 51.0), ('Gewissens', 25.2729145, 57.3135964)]"
GAG71,"[('Europas', 8.958095134724655, 51.14825865)]"
GAG70,"[('Würzburg', 9.932966, 49.79245)]"
GAG66,"[('Hamburgs', 9.994550134684175, 53.63636215)]"
GAG65,"[('Südafrika', 24.991639, -28.8166236)]"
GAG62,"[('New Yorker', -83.01419306965731, 39.97729635), ('Central Park', -73.9653627406542, 40.7827725)]"
GAG59,"[('Ostküste', 11.243553949999999, 54.4626247), ('USA', -100.445882, 39.7837304), ('Mysterium', 5.1223294, 52.0864296)]"
GAG58,"[('Hamburg', 10.000654, 53.550341)]"
GAG56,"[('Memphis', -89.9668758, 35.1335022)]"
GAG51,"[('China', 104.999927, 35.000074)]"
GAG50,"[('Einiges', 29.6284332, 46.8363585)]"
GAG49,"[('Australien', 134.755, -24.7761086), ('Melbourne', 144.9631608, -37.8142176), ('Golf von Carpentaria', 138.975284, -14.0346402)]"
GAG47,"[('Tirol', 11.5261028, 47.223193), ('Vorarlberg', 9.9166667, 47.25), ('Schweiz', 8.2319736, 46.7985624), ('Alpen', 9.141582381412086, 45.9081401), ('Schwaben', 10.47129100603846, 48.15313125)]"
GAG45,"[('Österreich', 14.12456, 47.59397), ('Wien', 16.3725042, 48.2083537), ('2. Republik', 58.170894, 53.814429)]"
GAG43,"[('Geschehens', 10.5677982, 47.9952098), ('Wien', 16.3725042, 48.2083537)]"
GAG42,"[('Portland', -122.674194, 45.5202471), ('Stadt', 8.2146017, 53.1389753), ('Garten', 23.8342648, 53.6834599)]"
GAG37,"[('Naturalien', 38.11234195565997, 55.877668)]"
GAG35,"[('Wien:', 16.3725042, 48.2083537)]"
GAG34,"[('Briten', 18.8656175, 57.3991819), ('China', 104.999927, 35.000074)]"
GAG33,"[('KZ Buchenwald', 11.2522682, 51.0235423), ('Liechtenstein', 9.5531527, 47.1416307)]"
GAG27,"[('Senj', 14.9030557, 44.9897329)]"
GAG26,"[('Champagne', -0.906667, 45.831944), ('Frankreich', 1.8883335, 46.603354)]"
GAG25,"[('Wien', 16.3725042, 48.2083537), ('Nationalbibliothek.', 10.717552819199415, 59.914080999999996)]"
GAG21,"[('Frankfurt', 8.6820917, 50.1106444)]"
GAG20,"[('Chinas', -76.044592, 2.6933228), ('China', 104.999927, 35.000074)]"
GAG18,"[('Russland', 97.7453061, 64.6863136), ('Hollands', -7.511779137509553, 54.86136295)]"
GAG17,"[('Regensburg', 12.0974869, 49.0195333)]"
GAG16,"[('Römische Reich', 6.7829347, 51.2449331)]"
GAG15,"[('Europa', 10.0, 51.0)]"
GAG13,"[('Wien', 16.3725042, 48.2083537)]"
GAG11,"[('Regensburg', 12.0974869, 49.0195333), ('Madrid', -3.7035825, 40.4167047), ('Brüssel.', 4.351697, 50.8465573)]"
GAG09,"[('London', -0.1276474, 51.5073219)]"
GAG03,"[('Ägypten', 29.2675469, 26.2540493)]"
